skill_id,skill_key,skill_name,skill_count,alias_examples,cluster_id,cluster_name,cluster_reason
SKILL_0048,ci/cd automation,CI/CD Automation,1,CI/CD automation,CLUSTER_020,DevOps and Cloud Infrastructure,CI/CD automation is part of DevOps and cloud infrastructure
SKILL_0049,ci/cd pipeline security,CI/CD Pipeline Security,1,CI/CD pipeline security,CLUSTER_020,DevOps and Cloud Infrastructure,CI/CD pipeline security is part of DevOps and cloud infrastructure
SKILL_0050,ci/cd pipelines,CI/CD Pipelines,3,CI/CD pipelines,CLUSTER_020,DevOps and Cloud Infrastructure,CI/CD pipelines are part of DevOps and cloud infrastructure
SKILL_0051,ci/cd practices,CI/CD Practices,2,CI/CD practices,CLUSTER_020,DevOps and Cloud Infrastructure,CI/CD practices are part of DevOps and cloud infrastructure
SKILL_0052,cloud run,Cloud Run,1,Cloud Run,CLUSTER_018,Cloud Platforms,Cloud Run is a cloud platform service
SKILL_0053,cloud sql,Cloud SQL,1,Cloud SQL,CLUSTER_019,Cloud Data Services,Cloud SQL is a specific managed cloud data service
SKILL_0054,copilot,CoPilot,1,CoPilot,CLUSTER_030,Other Technical Skills,CoPilot is specific and does not fit into any other cluster
SKILL_0055,codeigniter,CodeIgniter,1,CodeIgniter,CLUSTER_010,Web Development,CodeIgniter is a web development framework
SKILL_0056,cognos data manager,Cognos Data Manager,1,Cognos Data Manager,CLUSTER_030,Other Technical Skills,Cognos Data Manager is specific and does not fit into any other cluster
SKILL_0057,cognos framework manager,Cognos Framework Manager,1,Cognos Framework Manager,CLUSTER_030,Other Technical Skills,Cognos Framework Manager is specific and does not fit into any other cluster
SKILL_0058,comprehend,Comprehend,1,Comprehend,CLUSTER_019,Cloud Data Services,Comprehend is a specific managed cloud data/AI service
SKILL_0059,computer vision,Computer Vision,1,computer vision,CLUSTER_005,Computer Vision,Computer Vision is a specific field of image processing and visual AI
SKILL_0060,copilot studio,Copilot Studio,3,Copilot Studio,CLUSTER_030,Other Technical Skills,Copilot Studio is specific and does not fit into any other cluster
SKILL_0061,cosmos,Cosmos,1,Cosmos,CLUSTER_030,Other Technical Skills,Cosmos is specific and does not fit into any other cluster
SKILL_0062,dhcp,DHCP,1,DHCP,CLUSTER_020,DevOps and Cloud Infrastructure,DHCP is part of cloud infrastructure management
SKILL_0063,dns,DNS,1,DNS,CLUSTER_020,DevOps and Cloud Infrastructure,DNS is part of cloud infrastructure management
SKILL_0064,data analysis,Data Analysis,5,Data Analysis; Data analysis,CLUSTER_014,Data Warehousing,Data analysis is closely related to data warehousing and analytics
SKILL_0065,data analytics,Data Analytics,2,DATA ANALYTICS; Data Analytics,CLUSTER_014,Data Warehousing,Data analytics is closely related to data warehousing and analytics
SKILL_0066,data architecture,Data Architecture,1,Data Architecture,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0067,data governance,Data Governance,1,Data Governance,CLUSTER_028,Data Governance and Quality,Deterministic fallback: missing Pass 3 assignment
SKILL_0068,data interpretation,Data Interpretation,1,Data Interpretation,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0069,data manipulation,Data Manipulation,1,Data Manipulation,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0070,data mining,Data Mining,1,Data Mining,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0071,data modeling,Data Modeling,4,Data Modeling; Data modeling,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0072,data modelling,Data Modelling,1,Data Modelling,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0073,data pipelines,Data Pipelines,4,Data Pipelines; Data pipelines; data pipelines,CLUSTER_015,Data Engineering Pipelines,Deterministic fallback: missing Pass 3 assignment
SKILL_0074,data presentation,Data Presentation,1,Data Presentation,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0075,data processing,Data Processing,1,Data Processing,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0076,data lakehouse,Data lakehouse,1,Data lakehouse,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0077,data pipeline automation,Data pipeline automation,1,Data pipeline automation,CLUSTER_015,Data Engineering Pipelines,Deterministic fallback: missing Pass 3 assignment
SKILL_0078,data pipeline design,Data pipeline design,1,Data pipeline design,CLUSTER_015,Data Engineering Pipelines,Deterministic fallback: missing Pass 3 assignment
SKILL_0079,data pipeline implementation,Data pipeline implementation,1,Data pipeline implementation,CLUSTER_015,Data Engineering Pipelines,Deterministic fallback: missing Pass 3 assignment
SKILL_0080,data pipeline support,Data pipeline support,1,Data pipeline support,CLUSTER_015,Data Engineering Pipelines,Deterministic fallback: missing Pass 3 assignment
SKILL_0081,data preprocessing,Data preprocessing,2,Data Preprocessing; Data preprocessing,CLUSTER_015,Data Engineering Pipelines,Data preprocessing is a key step in ETL/ELT pipelines for data transformation
SKILL_0082,data protection,Data protection,2,Data protection,CLUSTER_023,Cybersecurity,Data protection involves securing data against unauthorized access or breaches
SKILL_0083,data security best practices,Data security best practices,1,Data security best practices,CLUSTER_023,Cybersecurity,Data security best practices are part of securing data and systems
SKILL_0084,data storage optimization,Data storage optimization,1,Data storage optimization,CLUSTER_014,Data Warehousing,Optimizing data storage is relevant to data warehousing and efficient data management
SKILL_0085,datamarts,DataMarts,1,DataMarts,CLUSTER_014,Data Warehousing,DataMarts are subsets of data warehouses and are relevant to data warehousing concepts
SKILL_0086,dataops practices,DataOps Practices,1,DataOps Practices,CLUSTER_015,Data Engineering Pipelines,DataOps Practices are closely related to data engineering and pipeline orchestration
SKILL_0087,database performance tuning,Database performance tuning,1,Database performance tuning,CLUSTER_013,Databases and Querying,Database performance tuning is directly related to optimizing database systems
SKILL_0088,databricks,Databricks,5,Azure Data Ecosystem; Databricks,CLUSTER_017,Big Data Processing,Databricks is a platform for big data processing and analytics
SKILL_0089,datadog,Datadog,1,Datadog,CLUSTER_020,DevOps and Cloud Infrastructure,Datadog is a monitoring tool used in DevOps and cloud infrastructure management
SKILL_0090,dataflow,Dataflow,2,Dataflow,CLUSTER_017,Big Data Processing,Dataflow is a tool for distributed data processing and is part of big data technologies
SKILL_0091,deep learning,Deep Learning,1,Deep Learning,CLUSTER_007,Deep Learning,Deep Learning is a core category for neural networks and deep learning frameworks
SKILL_0092,deepeval,DeepEval,1,DeepEval,CLUSTER_030,Other Technical Skills,DeepEval is a specific evaluation framework for deep learning models and does not fit other clusters
SKILL_0093,deepstream,DeepStream,1,DeepStream,CLUSTER_005,Computer Vision,DeepStream is used for video analytics and computer vision applications
SKILL_0094,demand modeling,Demand Modeling,1,Demand Modeling,CLUSTER_022,Statistics and Experimentation,Demand modeling involves statistical and analytical techniques for forecasting
SKILL_0095,deployment,Deployment,1,Deployment,CLUSTER_008,MLOps and Deployment,Deployment is a key aspect of MLOps and model serving
SKILL_0096,detectron2,Detectron2,1,Detectron2,CLUSTER_005,Computer Vision,Detectron2 is a computer vision framework for object detection
SKILL_0097,devops,DevOps,1,DevOps,CLUSTER_020,DevOps and Cloud Infrastructure,DevOps is a core category for cloud infrastructure and deployment practices
SKILL_0098,devsecops processes,DevSecOps Processes,1,DevSecOps Processes,CLUSTER_023,Cybersecurity,DevSecOps integrates security into DevOps practices and is relevant to cybersecurity
SKILL_0099,dialogflow,Dialogflow,1,Dialogflow,CLUSTER_002,Generative AI,"Dialogflow is used for building conversational AI and chatbots, which fall under generative AI"
SKILL_0100,distributed computing,Distributed computing,1,Distributed computing,CLUSTER_017,Big Data Processing,Distributed computing is a foundational concept in big data technologies
SKILL_0101,distributed systems,Distributed systems,1,Distributed systems,CLUSTER_020,DevOps and Cloud Infrastructure,Distributed systems are relevant to cloud infrastructure and deployment practices
SKILL_0102,django,Django,1,Django,CLUSTER_010,Web Development,Django is a backend web framework and is part of web development
SKILL_0103,docker,Docker,8,Docker,CLUSTER_020,DevOps and Cloud Infrastructure,Docker is a containerization tool used in DevOps and cloud infrastructure
SKILL_0104,document ai,Document AI,1,document AI,CLUSTER_002,Generative AI,"Document AI involves AI-based document processing and analysis, which is part of generative AI"
SKILL_0105,document analysis,Document analysis,1,document analysis,CLUSTER_004,NLP and Text Analytics,Document analysis involves text processing and is relevant to NLP and text analytics
SKILL_0106,ec2,EC2,1,EC2,CLUSTER_018,Cloud Platforms,EC2 is a cloud computing service provided by AWS and is part of cloud platforms
SKILL_0107,edr,EDR,1,EDR,CLUSTER_023,Cybersecurity,EDR (Endpoint Detection and Response) is a cybersecurity tool for threat detection
SKILL_0108,emr,EMR,1,EMR,CLUSTER_017,Big Data Processing,EMR (Elastic MapReduce) is a big data processing service on AWS
SKILL_0109,etl,ETL,7,ETL,CLUSTER_015,Data Engineering Pipelines,ETL is a core process in data engineering pipelines for data transformation
SKILL_0110,excel,Excel,6,Excel,CLUSTER_014,Data Warehousing,Excel is used for data analysis and is relevant to data warehousing and reporting
SKILL_0111,external api design,External API design,1,External API design,CLUSTER_011,API Development,External API design is directly related to API development and integration
SKILL_0112,faiss,FAISS,1,FAISS,CLUSTER_003,RAG and Vector Search,FAISS is a vector search library used in retrieval-augmented generation (RAG) systems
SKILL_0113,fastapi,FastAPI,2,FastAPI,CLUSTER_011,API Development,FastAPI is a framework for building REST APIs and is part of API development
SKILL_0114,finacle,Finacle,1,Finacle,CLUSTER_025,Enterprise Platforms,Finacle is a core banking platform and is part of enterprise platforms
SKILL_0115,firebase,Firebase,1,Firebase,CLUSTER_012,Mobile Development,Firebase is used for mobile app development and backend services
SKILL_0116,firebase hosting,Firebase Hosting,1,Firebase Hosting,CLUSTER_012,Mobile Development,Firebase Hosting is part of the Firebase ecosystem used for mobile app deployment
SKILL_0117,firestore,Firestore,1,Firestore,CLUSTER_012,Mobile Development,Firestore is a NoSQL database used in mobile app development
SKILL_0118,fiserv,Fiserv,1,Fiserv,CLUSTER_025,Enterprise Platforms,Fiserv is a financial services platform and is part of enterprise platforms
SKILL_0119,fivetran,Fivetran,1,Fivetran,CLUSTER_015,Data Engineering Pipelines,Fivetran is an ETL tool used for data pipeline automation
SKILL_0120,flask,Flask,1,Flask,CLUSTER_010,Web Development,Flask is a backend web framework and is part of web development
SKILL_0121,gcp,GCP,19,Cloud platforms; GCP; cloud platforms,CLUSTER_018,Cloud Platforms,GCP is a major cloud provider and is part of cloud platforms
SKILL_0122,gcp dataflow,GCP Dataflow,1,GCP Dataflow,CLUSTER_017,Big Data Processing,GCP Dataflow is a big data processing service on Google Cloud
SKILL_0123,gcp vertex ai pipelines,GCP Vertex AI pipelines,1,GCP Vertex AI pipelines,CLUSTER_008,MLOps and Deployment,GCP Vertex AI pipelines are used for deploying and managing machine learning models
SKILL_0124,gemini,Gemini,1,Gemini,CLUSTER_002,Generative AI,Gemini is a generative AI model developed by Google
SKILL_0125,gen2 azure fabric,Gen2 Azure Fabric,1,Gen2 Azure Fabric,CLUSTER_018,Cloud Platforms,Gen2 Azure Fabric is part of Microsoft's cloud platform ecosystem
SKILL_0126,generative ai,Generative AI,2,Generative AI,CLUSTER_002,Generative AI,Generative AI is a core category for LLMs and content generation
SKILL_0127,generative ai genai,Generative AI (GenAI),1,Generative AI (GenAI),CLUSTER_002,Generative AI,Generative AI (GenAI) is a core category for LLMs and content generation
SKILL_0128,generative ai model architecture design,Generative AI model architecture design,1,Generative AI model architecture design,CLUSTER_002,Generative AI,Designing generative AI model architectures is part of generative AI development
SKILL_0129,git,Git,8,Git,CLUSTER_027,Software Engineering Tools,Git is a version control system and is part of software engineering tools
SKILL_0130,github,GitHub,1,GitHub,CLUSTER_027,Software Engineering Tools,GitHub is a code hosting platform and is part of software engineering tools
SKILL_0131,github actions,GitHub Actions,3,GitHub Actions,CLUSTER_020,DevOps and Cloud Infrastructure,GitHub Actions is used for CI/CD and is part of DevOps practices
SKILL_0132,github workflows,GitHub workflows,1,GitHub workflows,CLUSTER_020,DevOps and Cloud Infrastructure,GitHub workflows are part of CI/CD and DevOps practices
SKILL_0133,gitops principles,GitOps Principles,1,GitOps Principles,CLUSTER_020,DevOps and Cloud Infrastructure,GitOps is a DevOps practice for infrastructure as code and deployment
SKILL_0134,glue,Glue,1,Glue,CLUSTER_017,Big Data Processing,Glue is a data processing service on AWS and is part of big data technologies
SKILL_0135,go,Go,1,Go,CLUSTER_009,Programming Languages,Go is a general-purpose programming language and is part of programming languages
SKILL_0136,google analytics,Google Analytics,1,Google Analytics,CLUSTER_021,BI and Visualization,Google Analytics is used for business intelligence and data visualization
SKILL_0137,google cloud,Google Cloud,1,Google Cloud,CLUSTER_018,Cloud Platforms,Google Cloud is a major cloud provider and is part of cloud platforms
SKILL_0138,google cloud platform gcp,Google Cloud Platform (GCP),1,Google Cloud Platform (GCP),CLUSTER_018,Cloud Platforms,Google Cloud Platform (GCP) is a major cloud provider and is part of cloud platforms
SKILL_0139,google sheets,Google Sheets,2,Google Sheets,CLUSTER_021,BI and Visualization,Google Sheets is used for data analysis and is relevant to BI and visualization
SKILL_0140,hadoop,Hadoop,1,Big Data technologies,CLUSTER_017,Big Data Processing,Hadoop is a big data processing framework and is part of big data technologies
SKILL_0141,kafka,Kafka,2,Kafka,CLUSTER_017,Big Data Processing,Kafka is a distributed streaming platform and is part of big data technologies
SKILL_0142,kubernetes,Kubernetes,7,Kubernetes,CLUSTER_020,DevOps and Cloud Infrastructure,Kubernetes is a container orchestration tool used in DevOps and cloud infrastructure
SKILL_0143,lgbm,LGBM,1,LGBM,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0144,llm,LLM,4,LLM,CLUSTER_002,Generative AI,Deterministic fallback: missing Pass 3 assignment
SKILL_0145,llm api integration,LLM API integration,2,LLM API integration,CLUSTER_002,Generative AI,Deterministic fallback: missing Pass 3 assignment
SKILL_0146,llm apis,LLM APIs,2,LLM APIs,CLUSTER_002,Generative AI,Deterministic fallback: missing Pass 3 assignment
SKILL_0147,llm-based workflows,LLM-based workflows,1,LLM-based workflows,CLUSTER_002,Generative AI,Deterministic fallback: missing Pass 3 assignment
SKILL_0148,llms,LLMs,3,LLMs,CLUSTER_002,Generative AI,Deterministic fallback: missing Pass 3 assignment
SKILL_0149,lambda,Lambda,1,Lambda,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0150,langchain,LangChain,4,LangChain,CLUSTER_001,Agentic AI,Deterministic fallback: missing Pass 3 assignment
SKILL_0151,langsmith,LangSmith,1,LangSmith,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0152,large language models llms,Large Language Models (LLMs),1,Large Language Models (LLMs),CLUSTER_002,Generative AI,Deterministic fallback: missing Pass 3 assignment
SKILL_0153,linux,Linux,4,Linux,CLUSTER_029,Operating Systems and Scripting,Deterministic fallback: missing Pass 3 assignment
SKILL_0154,linux administration,Linux administration,1,Linux administration,CLUSTER_029,Operating Systems and Scripting,Deterministic fallback: missing Pass 3 assignment
SKILL_0155,llamaindex,LlamaIndex,1,LlamaIndex,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0156,logging,Logging,1,Logging,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0157,lookml,LookML,1,LookML,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0158,looker studio,Looker Studio,1,Looker Studio,CLUSTER_021,BI and Visualization,Deterministic fallback: missing Pass 3 assignment
SKILL_0159,mcp integrations,MCP integrations,1,MCP integrations,CLUSTER_011,API Development,Deterministic fallback: missing Pass 3 assignment
SKILL_0160,mfa,MFA,1,MFA,CLUSTER_030,Other Technical Skills,Deterministic fallback: missing Pass 3 assignment
SKILL_0161,ml platforms,ML platforms,1,ML platforms,CLUSTER_008,MLOps and Deployment,ML platforms are related to the deployment and management of machine learning models
SKILL_0162,mlops,MLOps,4,MLOps,CLUSTER_008,MLOps and Deployment,"MLOps directly relates to the deployment, monitoring, and management of machine learning models"
SKILL_0163,mlops/llmops,MLOps/LLMOps,1,MLOps/LLMOps,CLUSTER_008,MLOps and Deployment,"MLOps/LLMOps is a specialized area of MLOps focused on large language models, which falls under the MLOps and Deployment cluster"
SKILL_0164,mlflow,MLflow,2,MLflow,CLUSTER_008,MLOps and Deployment,"MLflow is a tool used for managing the machine learning lifecycle, which is part of MLOps and Deployment"
SKILL_0165,mmdetection,MMDetection,1,MMDetection,CLUSTER_005,Computer Vision,"MMDetection is a framework for object detection, which is a core part of computer vision"
SKILL_0166,ms excel,MS Excel,3,MS Excel,CLUSTER_030,Other Technical Skills,MS Excel is a spreadsheet tool and does not fit into any of the more specific technical clusters
SKILL_0167,ms office applications,MS Office applications,1,MS Office applications,CLUSTER_030,Other Technical Skills,MS Office applications are general productivity tools and do not fit into any of the more specific technical clusters
SKILL_0168,ms sql,MS SQL,1,MS SQL,CLUSTER_013,Databases and Querying,MS SQL is a relational database system and fits into the Databases and Querying cluster
SKILL_0169,machine learning algorithms,Machine Learning Algorithms,4,Machine Learning Algorithms,CLUSTER_006,Machine Learning,Machine Learning Algorithms are core to the field of machine learning and fit into the Machine Learning cluster
SKILL_0170,machine learning,Machine learning,6,Machine Learning; Machine learning,CLUSTER_006,Machine Learning,Machine learning is a core field and fits into the Machine Learning cluster
SKILL_0171,machine learning infrastructure,Machine learning infrastructure,1,Machine learning infrastructure,CLUSTER_008,MLOps and Deployment,"Machine learning infrastructure is related to deploying and managing machine learning models, which falls under MLOps and Deployment"
SKILL_0172,microservice-based architecture,Microservice-based architecture,1,Microservice-based architecture,CLUSTER_027,Software Engineering Tools,Microservice-based architecture is a software design pattern and fits into the Software Engineering Tools cluster
SKILL_0173,microsoft power bi,Microsoft Power BI,1,"Data visualization experience using any BI tool: Microsoft Power BI, Tableau, Qlik",CLUSTER_021,BI and Visualization,Microsoft Power BI is a business intelligence and visualization tool and fits into the BI and Visualization cluster
SKILL_0174,mysql,MySQL,1,MySQL,CLUSTER_013,Databases and Querying,MySQL is a relational database system and fits into the Databases and Querying cluster
SKILL_0175,net,NET,1,NET,CLUSTER_030,Other Technical Skills,NET is a general-purpose programming framework and does not fit into any of the more specific technical clusters
SKILL_0176,nlp,NLP,1,NLP,CLUSTER_004,NLP and Text Analytics,NLP is a core field of natural language processing and fits into the NLP and Text Analytics cluster
SKILL_0177,nltk,NLTK,1,NLTK,CLUSTER_004,NLP and Text Analytics,NLTK is a library used for natural language processing and fits into the NLP and Text Analytics cluster
SKILL_0178,nunit,NUnit,1,NUnit,CLUSTER_027,Software Engineering Tools,NUnit is a unit testing framework and fits into the Software Engineering Tools cluster
SKILL_0179,nestjs,NestJS,1,NestJS,CLUSTER_010,Web Development,NestJS is a web framework and fits into the Web Development cluster
SKILL_0180,netlify,Netlify,1,Netlify,CLUSTER_020,DevOps and Cloud Infrastructure,Netlify is a cloud platform for deploying web applications and fits into the DevOps and Cloud Infrastructure cluster
SKILL_0181,network security,Network Security,1,network security,CLUSTER_023,Cybersecurity,Network Security is a core area of cybersecurity and fits into the Cybersecurity cluster
SKILL_0182,networking,Networking,1,Networking,CLUSTER_030,Other Technical Skills,Networking is a general term and does not fit into any of the more specific technical clusters
SKILL_0183,next.js,Next.js,3,Next.js; TypeScript / Next.js / React,CLUSTER_010,Web Development,Next.js is a web framework and fits into the Web Development cluster
SKILL_0184,nifi,NiFi,1,NiFi,CLUSTER_015,Data Engineering Pipelines,NiFi is a data integration and workflow automation tool and fits into the Data Engineering Pipelines cluster
SKILL_0185,node.js,Node.js,5,Node.js,CLUSTER_010,Web Development,Node.js is a web development framework and fits into the Web Development cluster
SKILL_0186,numpy,NumPy,1,NumPy,CLUSTER_009,Programming Languages,NumPy is a Python library and fits into the Programming Languages cluster
SKILL_0187,observability,Observability,2,Observability,CLUSTER_020,DevOps and Cloud Infrastructure,Observability is related to monitoring and managing cloud infrastructure and fits into the DevOps and Cloud Infrastructure cluster
SKILL_0188,observability tools,Observability tools,1,Observability tools,CLUSTER_020,DevOps and Cloud Infrastructure,Observability tools are used for monitoring and managing cloud infrastructure and fit into the DevOps and Cloud Infrastructure cluster
SKILL_0189,openai,OpenAI,1,OpenAI,CLUSTER_002,Generative AI,OpenAI is a provider of generative AI models and fits into the Generative AI cluster
SKILL_0190,openai api,OpenAI API,2,OpenAI API,CLUSTER_002,Generative AI,The OpenAI API is used for generative AI tasks and fits into the Generative AI cluster
